,100 Shooters (feat. Meek Mill)_Future,Babushka Boi_A$AP Rocky,Baby Birkin_Gunna,Baby Sitter (feat. Offset)_DaBaby,Bad Bad Bad (feat. Lil Baby)_Young Thug,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)_Mustard",Ballin' (feat. Roddy Ricch)_Mustard,Bezerk (feat. A$AP Ferg & Hit-Boy)_Big Sean,Broke As Fuck_YBN Cordae,Bussin (feat. Lil Pump)_Blueface,Camelot_NLE Choppa,Cash Shit (feat. DaBaby)_Megan Thee Stallion,Daddy (feat. Rich The Kid)_Blueface,Did It Again_Lil Tecca,Enemies (feat. DaBaby)_Post Malone,F.N_Lil Tjay,Handsome_Chance the Rapper,Hot (feat. Gunna)_Young Thug,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)_Megan Thee Stallion,Hot Shower_Chance the Rapper,Jet Lag_A$AP Ferg,Mac 10_Trippie Redd,Money In The Grave (Drake ft. Rick Ross)_Drake,My Type_Saweetie,No Cap (feat. Rich The Kid)_83 Babies,No Guidance (feat. Drake)_Chris Brown,On The Road (feat. Meek Mill & Lil Baby)_Post Malone,Pose (feat. Lil Uzi Vert)_Yo Gotti,Ransom_Lil Tecca,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby)_Gucci Mane,Saint-Tropez_Post Malone,Satish_Tee Grizzley,Self Control_YoungBoy Never Broke Again,Shotta Flow (Feat. Blueface) [Remix]_NLE Choppa,The London (feat. J. Cole & Travis Scott)_Young Thug,Through Da Storm_Polo G,Uno_Ambjaay,Won't Be Late (feat. Drake)_Swae Lee
Camelot_NLE Choppa,0.9407203361682723,0.9154018212183213,0.9540616752727283,0.9862741598732798,0.9423798980740362,0.9200739578224613,0.960882598822791,0.9774407800651711,0.9812549853512894,0.8621442013819365,1.0,0.9470884606062128,0.9176326734547295,0.9862396723967002,0.939283718976431,0.9722637810022675,0.9452408442904549,0.8954134712925711,0.9667479733693454,0.9455264672372894,0.949480453408415,0.9820981782884407,0.979747931419755,0.949158685189797,0.9701200226927236,0.9615573708241083,0.8829254669796228,0.8625417839714801,0.9131198268491973,0.9404969824705031,0.9115934687796471,0.9387177118541351,0.919821411124078,0.9900879501338499,0.9619259693141065,0.9428600351691779,0.9441117602064992,0.9501780686425443
Cash Shit (feat. DaBaby)_Megan Thee Stallion,0.9057658958731813,0.9249131067407158,0.9512751949628799,0.9548272806672422,0.9219860098373623,0.9127960775575835,0.9080530957324069,0.9528959552757849,0.9594040508098743,0.8765467936651421,0.9470884606062128,1.0,0.918702578927893,0.9328820057971263,0.9118614527162174,0.8979959631630362,0.9522667005867947,0.8620832361994278,0.945527040396493,0.9453499175763709,0.9230933519773608,0.9597965356922887,0.9382469723596883,0.9046682350340681,0.9274256695309079,0.9331918563218543,0.8724492679660794,0.8456692449039174,0.8898600335023963,0.9129688587805704,0.9118521693536659,0.903632729725813,0.8893662367799458,0.9596034669418118,0.9434154665310284,0.9163238552322618,0.8985422872111528,0.9108696880501762
Daddy (feat. Rich The Kid)_Blueface,0.8774118537477045,0.8999919792929622,0.9277018209693045,0.9370165762840182,0.8967326355220466,0.8943844679035092,0.893214529847798,0.9178867381688258,0.9384392434080548,0.8841710531527812,0.9176326734547295,0.918702578927893,1.0,0.9172920867407839,0.8913616960481986,0.884393150382056,0.9312699263430458,0.8474367670295424,0.9245272681083689,0.9495432924080911,0.9081941939500142,0.9117247255007295,0.9211226680917785,0.8898701809459489,0.8958266727859905,0.9295004942241892,0.8479083130991688,0.7963508551239326,0.8881782423862233,0.917596403549958,0.8774823511585332,0.8967985446868423,0.8770983217946495,0.9319612995654191,0.9200295368805995,0.9054067951265503,0.8958972927898854,0.9115995940093293
Did It Again_Lil Tecca,0.944664192740407,0.9123633606301487,0.9531838658403025,0.9849132291641479,0.9346223172095902,0.9227383841796998,0.9513108488515052,0.9715583225778214,0.9778943652934565,0.8511319907184346,0.9862396723967002,0.9328820057971263,0.9172920867407839,1.0,0.939825570223323,0.9678255447679526,0.9331963857666672,0.8777553880525417,0.9577208783153907,0.926670752391366,0.9432400445530927,0.9584731219151948,0.9742975201318599,0.9276206313845904,0.9519707033252293,0.9612824907087455,0.8790739412458718,0.8239434289317931,0.9178838221196233,0.9426315815021663,0.9047984651338189,0.9433178019095274,0.9231343398084633,0.974044707773512,0.9608266666565611,0.94340827896125,0.935695397567815,0.9503214475525465
Enemies (feat. DaBaby)_Post Malone,0.9586246261042725,0.9460607350923642,0.9718223693699055,0.9583285974076883,0.965311986025315,0.9766176643354739,0.9689945614305183,0.9593532912051254,0.9535734071267377,0.9063126978894088,0.939283718976431,0.9118614527162174,0.8913616960481986,0.939825570223323,1.0,0.9023719759275916,0.9566881416749626,0.9395254386224722,0.9622251418949105,0.9080902728440426,0.9579366716253142,0.9187836103762205,0.9720603081711845,0.9343806933131733,0.951256566401419,0.9619729637475322,0.9649947142516061,0.8944814873999172,0.9730887633352655,0.9718803842013017,0.9455588865759542,0.9816167503753284,0.9760606247657878,0.9406500381842164,0.9797388162028687,0.9801134659809629,0.9646889825566403,0.9700471458493094
F.N_Lil Tjay,0.9114035537537878,0.8617116265021129,0.9111579921512108,0.9601572022034535,0.8950233027690522,0.8600263035071738,0.931414686378987,0.9420894649052074,0.9596099284188726,0.8268646765895885,0.9722637810022675,0.8979959631630362,0.884393150382056,0.9678255447679526,0.9023719759275916,1.0,0.879082602991163,0.8385914007066406,0.9279288714287672,0.9041833761184644,0.9038354130054724,0.9460525089939986,0.9384594643791843,0.9192368817883176,0.9344487392543795,0.9200698482117247,0.8315555889531994,0.8087525844317257,0.8583825881111555,0.8928181297180424,0.8594445507564892,0.8960046358113819,0.8716936420981488,0.9626101787204479,0.9173829682968526,0.8954044171528992,0.8955930453887315,0.9065745083804889
Handsome_Chance the Rapper,0.9433195502677301,0.9579004175935931,0.9812564507963006,0.9612266432775596,0.9619536171443074,0.9760084781807582,0.9507092377905842,0.9626135972495528,0.95840118067836,0.9080947859777784,0.9452408442904549,0.9522667005867947,0.9312699263430458,0.9331963857666672,0.9566881416749626,0.879082602991163,1.0,0.9316282388513807,0.9686516543621684,0.941747259877669,0.9544860141816504,0.9378448832630961,0.971761579295423,0.9369594811064429,0.9561683348142206,0.9702008139317962,0.9462847212925256,0.9046025730139301,0.9637784365285413,0.9734727723013493,0.9417311186590466,0.9683751638165194,0.9626351292158484,0.9527443491323401,0.9772901565678553,0.9739361988243105,0.9606111314255217,0.9639843766306576
Hot (feat. Gunna)_Young Thug,0.9453486709584235,0.9097141135307686,0.9466814953358866,0.9110025965584774,0.9436970236857525,0.9475462015270225,0.9631584482586082,0.9157881445592241,0.8991183224110058,0.9002730203084787,0.8954134712925711,0.8620832361994278,0.8474367670295424,0.8777553880525417,0.9395254386224722,0.8385914007066406,0.9316282388513807,1.0,0.9495155695317611,0.8831533084446455,0.9438981278026435,0.902808545174333,0.9354930341072338,0.9260270999493816,0.9429869880014928,0.9300992782163228,0.9405089047197487,0.8704998138383176,0.9424636780486982,0.9513646069256807,0.9285299419111452,0.949593718759365,0.94486214136164,0.9066338884689209,0.9360921934690299,0.9437132366186287,0.9564723865764794,0.9187984348362112
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)_Megan Thee Stallion,0.9590419405672667,0.9321535117943779,0.9751606403930347,0.9737775062287906,0.9622484402230675,0.9540643618494018,0.967340164525707,0.9735495861843573,0.9670399588436623,0.9060861641415744,0.9667479733693454,0.945527040396493,0.9245272681083689,0.9577208783153907,0.9622251418949105,0.9279288714287672,0.9686516543621684,0.9495155695317611,1.0,0.949397387346439,0.9616370940283425,0.9646859348761705,0.9782095251645824,0.9514656121426197,0.9657589116827634,0.9847898218273022,0.9264632184858173,0.8766790354725589,0.945036789640172,0.9670237061331712,0.9422177287967477,0.9631596905213151,0.9426668560559934,0.9724755291375587,0.9759854764276066,0.9682380557058625,0.9653663152841279,0.9716018947471671
Hot Shower_Chance the Rapper,0.9036954544252456,0.8893760059158382,0.9357122396874511,0.9516061785781675,0.9186774406937803,0.8926610084736238,0.9168720111440137,0.947469203392173,0.9522927520230204,0.8893724813962309,0.9455264672372894,0.9453499175763709,0.9495432924080911,0.926670752391366,0.9080902728440426,0.9041833761184644,0.941747259877669,0.8831533084446455,0.949397387346439,1.0,0.9326093635389884,0.956564187281836,0.9405502199950883,0.9160287465678276,0.9206942704682517,0.9462157289848812,0.8605415491131218,0.835625510281061,0.8894522370468361,0.9149056357499392,0.91414507032914,0.897158890000073,0.8879595966251274,0.9608780686816936,0.9365500612853753,0.9142298394528835,0.9052002747798049,0.9288444694472356
