,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
I Love Kanye,-0.4515461860465114,0.5553974023255814,0.20024983720930226,-0.23110106976744182,-0.32466093023255815,0.0754184418604651,-0.19791393023255813,-0.015037451162790693,0.17571209302325577,1.2341985376744184,-0.25841118604651164,0.280290976744186,-0.28819930232558144,-0.030700037209302332,0.05824860465116282,0.2510477441860465,0.5187361930232559,-0.21176168837209303,0.3101400930232558,0.09820104651162788,0.04461097674418603,0.5631135813953487,0.6433388604651163,0.28642269534883724,0.21534369767441855,-0.9310939534883722,-0.9524832558139537,0.10931146511627902,0.11387639534883723,-0.8556668837209304,1.5802795348837206,0.18300958139534884,0.3124171162790698,0.07336453488372092,0.48666905813953504,-0.10419188372093019,0.35506841860465116,-0.21417765116279072,-0.313164023255814,-0.5083676976744186,-0.29771920930232565,0.3926646860465116,-0.22454835813953497,-0.6278979069767441,0.5633559767441859,-0.20682116279069776,-0.06868860465116278,-0.6733903255813953,-0.04780558837209302,0.26301511627906965
Low Lights,0.02424350588235295,0.24628792156862744,-0.0414237450980392,-0.40300970588235274,0.547536862745098,-0.22179882352941177,-0.35003396666666664,0.23037500392156865,-0.24544903921568625,0.35118411764705887,-0.23082874509803925,0.32756984313725496,-0.3367546078431372,0.041878949019607835,0.8017601764705882,0.3601026274509805,0.40271409803921576,0.10779850980392157,-0.10706493725490197,-0.5514027058823531,-0.22778892156862743,0.5880054901960784,0.451179156862745,0.2235068431372549,0.7681658235294119,-1.5684433333333334,-0.8571141176470587,0.18001676666666672,0.7291498039215686,-0.6385958431372549,2.9283901960784315,0.6245056274509805,-0.35802750980392156,0.0598493725490196,-0.13872876470588238,-0.1973506431372549,0.16989495490196077,0.00926331764705882,0.17534789862745098,-0.38652745098039226,-0.3475837058823529,0.0581391294117647,-0.13383988627450985,0.27432237254901964,0.12048466666666666,0.10612331372549018,-0.14944176470588236,-0.39345226274509804,-0.09264519411764706,0.432990294117647
No More Parties In LA,0.033203630735930745,0.15189119999999998,0.15124034199134198,-0.325706377056277,0.358360090909091,-0.023951983982683982,-0.3674311956709958,0.09496863073593076,-0.1879641774891775,0.24239708588744588,-0.22130835930735931,0.3176221515151515,-0.2673746173160173,0.05821395887445888,0.5039116753246752,0.19900931601731603,0.2542294601731602,-0.043759241991342006,0.0833155692640692,-0.33112076666666673,-0.21327010476190472,0.3006603030303031,0.3969663290043291,0.27805527575757577,0.405936496969697,-1.5544813419913428,-0.6561055584415585,0.07673599134199136,0.35858246926406917,-0.5781250372294371,2.581098917748918,0.4641022164502165,-0.3580024632034632,0.15514947532467527,-0.09849052164502166,-0.11656749090909088,0.0688613645021645,-0.08926355497835499,0.2256142460173161,-0.3583292121212121,-0.17951096320346321,0.23808328744588733,-0.19961578008658004,0.15590519653679652,0.18148326839826842,0.006927906493506491,-0.18342150216450215,-0.32467370129870116,0.09587908658008659,0.22574706926406923
Pt. 2,-0.2012823200000001,0.24642461818181816,-0.023182781818181813,-0.49721258363636356,0.25782592727272724,-0.05325860545454546,-0.301514769090909,0.06939967272727274,-0.2909085090909091,0.43792537672727266,-0.30846000000000007,0.3092617454545454,-0.2954007018181818,0.1278732363636364,0.2926172545454545,0.11770081818181817,0.25331855090909083,-0.057730236363636354,-0.08146523454545454,-0.15231861818181813,-0.3039538909090909,0.30781400000000003,0.4977241454545454,0.2713826181818182,0.4574356,-1.3709176363636364,-0.7923983454545455,0.3386343836363636,0.49202186545454535,-0.7407044,2.381618,0.26247159999999997,-0.018914999999999987,0.29773067272727277,0.056015721818181825,-0.04269263636363638,0.1451984181818182,-0.0834041981818182,0.1148392727272727,-0.31688910909090917,-0.15970061818181824,0.14906416000000003,-0.1936607200000001,0.06344772363636363,0.16833649090909095,0.07912570909090909,0.035559890909090903,-0.39759727272727274,0.03161647454545456,0.1317138909090909
Real Friends,0.09314767999999998,0.2795982666666666,0.05731621666666666,-0.3097222854166667,0.3276097750000001,-0.07514915166666665,-0.4650490666666666,0.15462009,-0.27896774166666666,0.45482437500000006,-0.24058516666666663,0.36758197500000006,-0.29992763333333333,-0.09922640499999999,0.4466996833333335,0.05933965,0.32657533499999997,-0.060425291666666665,-0.004204732499999989,-0.2469543975000001,-0.19797369666666667,0.29394769999999987,0.2770824333333334,0.3453105166666667,0.3936534166666667,-1.3528718333333327,-0.6774359833333332,0.04926416666666668,0.423419305,-0.5795718799999999,2.4703952,0.23410087500000004,-0.029729266666666667,-0.03726003333333335,0.04907373750000001,-0.037630483333333326,0.014889495000000011,-0.04933008333333334,0.10535636666666673,-0.32536065833333344,-0.08638253750000001,0.19748414000000006,-0.18842529500000002,0.1073098066666667,0.16126022499999995,-0.03614730333333335,-0.1104897,-0.3372374133333333,0.05283023583333337,0.23431803333333343
Saint Pablo,0.12949988487394953,0.3932813781512605,0.0006391321008403023,-0.33399387310924367,0.544573680672269,-0.15430662268907563,-0.43843748235294117,0.19003925420168075,-0.2652740210084033,0.25639174991596647,-0.18847113117647057,0.31945770168067233,-0.363373512605042,0.04013233613445378,0.4882902563025211,0.2609756050420169,0.2200048483193277,0.013211509243697473,-0.2825847172268908,-0.2912945016806723,-0.24016007226890757,0.5050364453781512,0.301188731092437,0.24884533571428574,0.4542665756302521,-1.43216550420168,-0.7920938865546219,0.2316551470588235,0.4091308050420169,-0.649634811764706,2.3766227310924375,0.35927282352941176,-0.16614477731092436,0.048107975630252105,-0.05360772689075633,-0.20094125210084035,0.2489891529411765,-0.24059906470588227,0.2508956685294118,-0.1828490588235294,-0.1382789138655462,0.1534559529411765,-0.2497840067226891,0.14896363025210083,0.15281578151260508,0.11757481932773112,-0.2296786890756303,-0.4818240831932772,-0.0263488012605042,0.2074121525210084
Siiiiiiiiilver Surffffeeeeer Intermission,-0.044619163999999996,0.26032475999999993,-0.03159884000000001,-0.3224986000000001,0.7302044000000001,-0.006946604000000003,-0.38806804000000006,0.17572004800000002,-0.20230384,0.37930476479999997,-0.14643859999999997,0.46665399999999996,-0.4334236000000001,0.11810159999999996,0.7292115999999998,0.11101551999999999,0.36418896000000006,0.20600628,-0.019501952000000003,-0.32027308000000004,-0.48827479999999995,0.6269596000000002,0.35848524000000004,0.31139864,0.7174144,-1.5695948,-0.8479385200000001,0.1478712,0.7190124,-0.7467384,2.3252403999999998,0.3775100000000001,-0.32663816000000007,0.15479623999999997,-0.023479356000000003,-0.048384399999999994,0.078414668,-0.01832894400000001,0.3129444,-0.4467063999999999,-0.15025550000000001,0.09108701599999998,-0.08071688000000002,0.243654256,0.305055,-0.04538488000000001,-0.06202124,-0.38932164,0.11282960000000002,0.42201639999999996
Ultralight Beam,0.12685762784090915,0.3016435602272728,-0.06710977534090906,-0.4013585914772726,0.674706909090909,-0.07991762272727275,-0.20284422272727276,0.11479002840909094,-0.2705044431818182,0.3777442327272728,-0.12953334113636367,0.4889268977272726,-0.2775687079545455,-0.03017219886363638,0.4475449147727272,0.32508661363636365,0.3324718085227273,0.047275011931818184,-0.02499250681818185,-0.3970060267045456,-0.3384699261363636,0.48372053409090904,0.29178992045454544,0.17812741420454548,0.6927299659090909,-1.4665285795454546,-0.8795630681818182,0.07301923863636366,0.5115245477272728,-0.6836342954545458,2.6129154545454556,0.39702325,-0.38875949431818185,-0.11095654886363641,-0.11087411875000003,-0.1356713693181818,0.25113309943181816,-0.23124943806818168,0.04660594221590909,-0.2699974772727273,-0.12028411079545459,0.015854476704545477,-0.25808449999999983,0.1837630375,0.056128647727272725,0.31899200568181824,-0.19495610795454546,-0.32084095227272724,-0.11776193352272729,0.20441830454545454
Waves,0.015773479452054803,0.19512730136986303,0.1786339178082192,-0.41169446712328767,0.3137461643835615,0.03339821506849316,-0.16233342739726028,0.16365167534246577,-0.19844105479452057,0.2880728389041096,-0.29186776712328766,0.22836105479452054,-0.3554059260273973,0.11522942465753423,0.44422382191780824,0.30708123287671235,0.4292735616438356,0.03602214246575341,0.030678757534246565,-0.42440841095890414,-0.2467342109589041,0.35527909589041096,0.5720013698630136,0.4050553808219179,0.5581400547945206,-1.2079042465753427,-0.7995882191780821,0.382467506849315,0.5484488821917808,-0.8913905753424657,2.312670136986301,0.34682467123287664,-0.17199879452054795,0.2559604465753424,-0.02482625342465754,-0.11664953424657534,0.2616059726027397,-0.18947975342465762,0.25085372136986306,-0.2956122465753424,-0.17517882191780823,0.020336816438356168,-0.16433945205479453,0.13220639452054794,0.18468887671232878,0.02493321917808219,0.17341032876712328,-0.3860699589041096,-0.039197427397260266,0.22501993150684932
Wolves,0.028675720491803263,0.0939489081967213,-0.030851350655737717,-0.2137359262295082,0.3932909344262296,0.08976517213114751,-0.4481517590163935,0.12289671803278689,-0.09965160655737702,0.2941886885245902,-0.09212519672131146,0.33884131147540975,-0.15513918032786878,-0.07843868852459017,0.48939984426229527,0.15834973770491806,0.40661462295081957,-0.16388810737704923,-0.19036408934426233,-0.22802931967213116,-0.4912060590163934,0.19156727049180328,0.4589406393442623,0.17045004098360655,0.5238574836065573,-1.344795573770492,-0.6716824836065571,0.156509,0.5915775622950818,-0.7359674204918034,2.4588691147540986,0.2761440081967213,-0.1059466950819672,0.08416456229508194,-0.08062349508196721,-0.05909052459016392,0.05076575409836063,-0.0974202393442623,0.17605182786885243,-0.36641172131147537,-0.17525168442622951,0.015643335245901627,-0.030468491803278666,0.16473019344262294,0.28949136885245896,0.07414395081967214,-0.07889554918032785,-0.26683398524590163,0.08671999967213115,0.16078462295081974
