,Babushka Boi_A$AP Rocky,Baby Birkin_Gunna,Bad Bad Bad (feat. Lil Baby)_Young Thug,Ballin' (feat. Roddy Ricch)_Mustard,Bezerk (feat. A$AP Ferg & Hit-Boy)_Big Sean,Big Boy Diamonds (feat. Kodak Black & London On Da Track)_Gucci Mane,Big Stepper_Roddy Ricch,Broke As Fuck_YBN Cordae,Camelot_NLE Choppa,Carter Son_YoungBoy Never Broke Again,Did It Again_Lil Tecca,Enemies (feat. DaBaby)_Post Malone,F.N_Lil Tjay,First Class_Blueface,HIGHEST IN THE ROOM_Travis Scott,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)_Megan Thee Stallion,Hot Shower_Chance the Rapper,I Wanna Rock (feat. Gunna)_G-Eazy,Mac 10_Trippie Redd,Make No Sense_YoungBoy Never Broke Again,Mood Swings_A Boogie Wit da Hoodie,ORANGE SODA_Baby Keem,On The Road (feat. Meek Mill & Lil Baby)_Post Malone,Pose (feat. Megan Thee Stallion & Lil Uzi Vert)_Yo Gotti,RAW SHIT (feat. Migos)_DaBaby,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby)_Gucci Mane,Routine (feat. Rick Ross & Meek Mill)_Wale,Saint-Tropez_Post Malone,Satish_Tee Grizzley,Self Control_YoungBoy Never Broke Again,Stuck In A Dream (feat. Gunna)_Lil Mosey,Through Da Storm_Polo G,VIBEZ_DaBaby,Valentino_24kGoldn,What's the Move (feat. Lil Uzi Vert)_Young Thug
Did It Again_Lil Tecca,0.897282404697437,0.943019606577236,0.9276112836202342,0.9477145361862429,0.9685210978568387,0.8921792346546966,0.9556921614312488,0.9748960563843531,0.9837964042995454,0.9272238799045817,1.0,0.9241382235449651,0.9727440352897175,0.9172784053092513,0.9300625109532814,0.9520213096101,0.9242154811649792,0.9099819924034299,0.9586263950802288,0.9220560134588377,0.9604768133240783,0.9475187023833069,0.8533932401834047,0.8640025303243368,0.9399081844179558,0.9155364857743411,0.9516286787184357,0.8862523616565445,0.9375645584975069,0.9011935837686523,0.9526568584955819,0.9277850166731507,0.9727990335568503,0.8700936803328125,0.9294363614613924
Enemies (feat. DaBaby)_Post Malone,0.9533143924248679,0.9719529246121276,0.9584617243460252,0.9622679315169501,0.9581790085599474,0.9404450883331614,0.9629250855184321,0.9522803939296531,0.922297401058245,0.982565833750703,0.9241382235449651,1.0,0.9058129489587806,0.9324258690316798,0.9458101736603404,0.9626045889288897,0.9084527465756717,0.9445013817186727,0.9172060109665605,0.9476215959434954,0.9702561410137819,0.9110128060955158,0.9643444393362482,0.9391792324833723,0.976408108831398,0.9650748173390991,0.9694497713659933,0.9460855822751643,0.9842758288892509,0.9750102751520164,0.9609020618447331,0.97876081717214,0.9481736617257769,0.954718400396289,0.9636401735552884
F.N_Lil Tjay,0.8667439663680465,0.9160971506856318,0.9086125080962578,0.9384433861792838,0.9503245728211472,0.867681352721324,0.936262403100914,0.9663132031792661,0.9772998353429767,0.914667218058456,0.9727440352897175,0.9058129489587806,1.0,0.8861359245925968,0.8948210994283079,0.9292744618048603,0.9093548014842778,0.8975387959573885,0.9475206235389527,0.8966844246747555,0.9449230866817324,0.9536778078957635,0.8283658662951934,0.8611101644178472,0.9195504813759543,0.8883807812919172,0.9259672160117426,0.8543482489338674,0.9095885662271425,0.8756843785252799,0.9272484178180764,0.9007548834284697,0.9487139194910306,0.8377086706714524,0.8992071428785765
First Class_Blueface,0.9282801621362713,0.9672005935876127,0.9472188017001395,0.9549948514492556,0.9390413167033538,0.9582943429209835,0.9514071697484363,0.9394666576447593,0.9253812796004693,0.9409887713111064,0.9172784053092513,0.9324258690316798,0.8861359245925968,1.0,0.949419985051161,0.9607582092504471,0.9425297844354187,0.9361269157156723,0.938246435871211,0.9461797309290969,0.9449209713492929,0.9101867896980627,0.9102675114693329,0.910339684409894,0.9597829444845852,0.9603284397450041,0.9526270592004246,0.9376219015394017,0.9455579026450686,0.9330227301258525,0.9518980265859074,0.9421933001127301,0.9493728277698886,0.9205647055506095,0.9633376744140568
HIGHEST IN THE ROOM_Travis Scott,0.9520885086100034,0.9711954769441654,0.9443792970831415,0.9372968988219895,0.9618716251322192,0.9259544237306201,0.9381252868929831,0.9625101392976344,0.9331087136594295,0.9391814842066925,0.9300625109532814,0.9458101736603404,0.8948210994283079,0.949419985051161,1.0,0.955351694996634,0.9411310609429021,0.9365408918823617,0.9363472125358028,0.9587949193138805,0.9539623653212973,0.9136060899190382,0.9284776325345698,0.9126731022708816,0.9575875076308475,0.9369838432461602,0.9502471621863624,0.9293824694544989,0.950215096302901,0.9394918384910561,0.958691631970448,0.9433271285385864,0.9642031282762032,0.9150352080936232,0.9513844588763285
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)_Megan Thee Stallion,0.9375077076522754,0.9777087849073888,0.9658383803599764,0.9686508437500049,0.9756089169353267,0.953259342641644,0.9756850229781233,0.9654601074079601,0.9559679142370463,0.9640130492605352,0.9520213096101,0.9626045889288897,0.9292744618048603,0.9607582092504471,0.955351694996634,1.0,0.9456874862062746,0.9680335624559316,0.9622876061201581,0.9469836380546747,0.9812069255327894,0.9435284749053875,0.9288613964135047,0.9290432099423127,0.9782764664537487,0.9637469591361992,0.9763865405643158,0.9391387622104761,0.9703533793177544,0.9460112825720908,0.9759661205790409,0.9687714540618649,0.9703036458810366,0.9280981958022637,0.9669341320499586
Hot Shower_Chance the Rapper,0.8826330591624999,0.9324721611428524,0.9263892118717028,0.9243212888408404,0.946532769302365,0.8720435453665737,0.9104189883745915,0.9486469564580429,0.9405274473374176,0.8992574543316689,0.9242154811649792,0.9084527465756717,0.9093548014842778,0.9425297844354187,0.9411310609429021,0.9456874862062746,1.0,0.9239259813296854,0.9523669901689336,0.923383880518949,0.9435087819870417,0.9217321170572581,0.8590846604179752,0.8836131578795496,0.9246726139964195,0.8976721671419436,0.93858464088356,0.9041861138628512,0.9101889838952175,0.8922217695467628,0.9246843291078022,0.9166217135027275,0.9661101203458103,0.8681145063962861,0.9187825563307841
I Wanna Rock (feat. Gunna)_G-Eazy,0.9345418335685196,0.9529285497579525,0.9426647974917863,0.9518135678685529,0.956633557742149,0.9465567346697358,0.9564680605182366,0.9374607501526875,0.927532655674305,0.9606752711034395,0.9099819924034299,0.9445013817186727,0.8975387959573885,0.9361269157156723,0.9365408918823617,0.9680335624559316,0.9239259813296854,1.0,0.933078358860834,0.9407357963722605,0.964013459278627,0.9315583332973819,0.9241225873836747,0.9263370296435866,0.9578311556044579,0.9513983258181157,0.9452542647999022,0.9229976022525825,0.9552543767899966,0.9338389071183371,0.9542115734389491,0.9546618779402878,0.9406100562775628,0.9327562436364067,0.9675342156920105
Mac 10_Trippie Redd,0.9078729549717566,0.9467092371858167,0.9397290086379942,0.9536632676242485,0.9659608148558818,0.9101715038005942,0.9470450518631787,0.9654208760031071,0.9797134498455647,0.9258967762320415,0.9586263950802288,0.9172060109665605,0.9475206235389527,0.938246435871211,0.9363472125358028,0.9622876061201581,0.9523669901689336,0.933078358860834,1.0,0.9330642274334445,0.9628803188959343,0.9609918230239564,0.8603387967180655,0.9039571773279622,0.9474254036441944,0.9169310582458213,0.9529614956168675,0.8986241726330717,0.9268593609209582,0.9027291932826952,0.9500379195320042,0.9240944167315063,0.9736483899406011,0.8841413788335851,0.9444828765772408
Make No Sense_YoungBoy Never Broke Again,0.9625557565636709,0.9675545382554803,0.9569503315607599,0.9549569949878153,0.9481678877957437,0.9450372780430404,0.9513999706137117,0.9553894149380348,0.9388066229963035,0.9576891281057784,0.9220560134588377,0.9476215959434954,0.8966844246747555,0.9461797309290969,0.9587949193138805,0.9469836380546747,0.923383880518949,0.9407357963722605,0.9330642274334445,1.0,0.9582559293491696,0.8853266715504982,0.9412729087914351,0.939362267596336,0.9632984257883779,0.9570354738811403,0.9565321151690539,0.9158973928680537,0.9642239603672815,0.953060157480571,0.9431090572183932,0.9576574858207115,0.9502248553459248,0.9521379795406977,0.9559749504531503
